Set,N,DE,P.DE,FDR,DEG.GENES
fibrosis_transcriptional_signature,65,0,1,1,""
pulmonary_fibrosis_ctd,71,0,1,1,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1,""
WP_LUNG_FIBROSIS,40,0,1,1,""
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,9,0,1,1,""
