Set,N,DE,P.DE,FDR,DEG.GENES
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,9,1,0.00252369341741565,0.0126184670870783,PRMT7
WP_LUNG_FIBROSIS,40,1,0.0111774431923887,0.0279436079809717,CEBPB
pulmonary_fibrosis_ctd,71,1,0.0197710269961049,0.0329517116601748,CEBPB
fibrosis_transcriptional_signature,65,0,1,1,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1,""
