,Set,NGenes,Direction,PValue,FDR
1,pulmonary_fibrosis_ctd,56,Down,0.0784171849111821,0.2372455497987
2,WP_LUNG_FIBROSIS,33,Down,0.134943558870938,0.2372455497987
3,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,57,Up,0.14234732987922,0.2372455497987
4,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Up,0.396498483976446,0.495623104970557
5,fibrosis_transcriptional_signature,18,Up,0.780373914459997,0.780373914459997
