gene,logFC,logCPM,LR,PValue,FDR
GALNS,-0.0653817949386678,4.79970897102631,0.106725810698762,0.743902995883444,0.995023533055751
FOXO1,-0.0576686829340269,3.5489630933868,0.106712667171685,0.743918212806416,0.995023533055751
CDS2,-0.0418964362120504,4.63782731820948,0.106711164164217,0.743919952979905,0.995023533055751
EXOSC2,-0.0603117192049483,2.57912598029193,0.106345147209801,0.744344129809572,0.995023533055751
COG6,0.062355554854061,3.47239657127529,0.106259756481673,0.74444320521704,0.995023533055751
CIB1,0.0247155787757714,8.51988399000944,0.106244716188801,0.74446066042147,0.995023533055751
TNFAIP8,-0.0447230696499928,5.46047193299883,0.106236134991864,0.744470620051793,0.995023533055751
TSPYL4,0.0678463405882439,1.90939266398275,0.106195247706939,0.744518081343762,0.995023533055751
FRAT2,-0.0442160959405019,4.58851388236867,0.106170592698977,0.744546705358912,0.995023533055751
ZNF57,0.0933644605239563,1.01507775908071,0.106154123157765,0.744565828244489,0.995023533055751
PTBP2,0.0729956481466285,2.59263576243337,0.106004043536387,0.744740162271016,0.995023533055751
LTN1,0.0387540289756885,5.02080223983629,0.105934419433265,0.744821084692008,0.995023533055751
RWDD1,0.0268038368623582,7.36723185511377,0.105800086189774,0.744977300142879,0.995023533055751
LRCH1,-0.046674039683839,3.53789612436902,0.105766086028247,0.745016856148128,0.995023533055751
RWDD3,-0.0558473323827771,4.25385929833099,0.105733206209953,0.745055115426189,0.995023533055751
PHF12,-0.0604811291458011,3.96890932665774,0.105728103503189,0.745061053575266,0.995023533055751
RASGRP2,-0.0450681734396621,5.84771507642738,0.105723894221018,0.745065952142783,0.995023533055751
PRPF31,0.0295637748363879,4.98044073893634,0.10562897768016,0.745176440255309,0.995023533055751
PIGS,0.0371091367882504,4.90375971375028,0.105451186512415,0.745383546807184,0.995023533055751
ZNF700,0.064849624357971,2.96865843149155,0.10528762135036,0.745574252199085,0.995023533055751
HTRA4,-0.11554363231281,2.31770302852219,0.105276855188869,0.745586810522222,0.995023533055751
HACD3,0.0327551964062703,5.4159616571971,0.105211578463653,0.74566296857274,0.995023533055751
MMS22L,0.0509785993642104,3.3233092954089,0.105143679220379,0.745742214013684,0.995023533055751
ZHX2,0.0676236188296905,1.91486414639796,0.105110244473504,0.745781246212786,0.995023533055751
FKBP4,-0.0430152362497305,4.93934736102772,0.104997617147191,0.745912779457085,0.995023533055751
TTLL7,-0.104111766384692,0.827705427845025,0.104971375168184,0.745943437679647,0.995023533055751
SERPINF2,0.0709878932161617,2.03635043284173,0.104868680516248,0.746063455466464,0.995023533055751
NUBP2,-0.0325147685994587,4.97316047354437,0.104845999458435,0.746089971250419,0.995023533055751
RSPRY1,-0.0370285261317513,4.32202468535743,0.104775289265953,0.746172656883167,0.995023533055751
ITGAL,0.0350730190901117,6.47248025851839,0.104715918018258,0.74624210702316,0.995023533055751
SENP7,0.0566350827529961,3.05206064316205,0.104563699289578,0.746420265902785,0.995023533055751
BOD1,-0.0377298306808114,4.26861925458819,0.104549691473018,0.746436668038072,0.995023533055751
PSD4,0.0421032083088946,4.25522724336744,0.104475041647326,0.746524098034012,0.995023533055751
CDKN2B,-0.100473508475654,0.832559966321658,0.104440170330651,0.746564951198083,0.995023533055751
BAX,0.0288986143024114,7.39590527191743,0.104400761149254,0.746611129722642,0.995023533055751
TEC,0.0474654254661137,3.34786912821114,0.104208302849653,0.746836785121762,0.995023533055751
GNG10,0.0426459376353142,7.95894144046449,0.104185038758043,0.746864077615845,0.995023533055751
SNED1,-0.127105892209561,0.106087230736524,0.104175353428261,0.746875441046118,0.995023533055751
GPR82,-0.165512859615665,1.25450231809864,0.104111106967551,0.746950833753965,0.995023533055751
SIRT6,-0.0569734317553619,3.51456638893785,0.104063694189875,0.747006488742133,0.995023533055751
ETNK1,0.027755493494337,6.02207671200926,0.104038509913012,0.747036056731943,0.995023533055751
PRKCI,0.046447632054365,3.52432154481877,0.103915695689484,0.747180305315025,0.995023533055751
TNFRSF14-AS1,0.087507336382065,1.37513593601933,0.103840524466428,0.747268642351407,0.995023533055751
EMD,0.0403272045698356,4.65877414078506,0.103703050452783,0.747430285498635,0.995023533055751
NRM,0.102112812148237,1.14308874874154,0.103681713691323,0.747455384048401,0.995023533055751
SBF2,-0.034680355472165,4.88276445152105,0.103522531714711,0.74764272069908,0.995023533055751
TENT4B,0.0425134087848601,4.71717914365365,0.103487437273703,0.747684043708537,0.995023533055751
MCEE,0.05111592918687,3.50624244490323,0.103394087328383,0.747793999070677,0.995023533055751
CSE1L,-0.0396213946093413,4.53112895203855,0.103337990806033,0.747860100586847,0.995023533055751
RBX1,-0.020104776759353,8.18786127673811,0.103294918650237,0.747910868235227,0.995023533055751
BECN1,0.034045490224556,5.64919674403507,0.103265102729527,0.747946018061703,0.995023533055751
DNAH1,-0.100241068618941,0.864595452436682,0.103083366523155,0.748160387041375,0.995023533055751
FMNL1,-0.0333406967211477,6.78240801464993,0.103023352354857,0.748231223205083,0.995023533055751
C8orf76,0.0433475426556011,4.49390058732161,0.103020740669418,0.748234306356784,0.995023533055751
LIPT2,-0.0646595975931195,2.04954650809323,0.102943671696035,0.748325307374685,0.995023533055751
ZNFX1,0.0356198905193469,5.73473292924652,0.102929582518314,0.74834194756703,0.995023533055751
LYSMD2,-0.0536383290388172,6.17391757779942,0.102666281704167,0.748653153513408,0.995023533055751
SPCS1,0.0181998306881327,7.67541878626833,0.102569282709029,0.748767911477155,0.995023533055751
SDHAF2,0.0310387313889492,5.22696951312186,0.102482153794671,0.748871043323272,0.995023533055751
ERCC6L2,0.0380409182917989,4.22184413422831,0.102369648324183,0.749004284151966,0.995023533055751
FBH1,-0.0507704913598072,3.8569943220612,0.102335526296837,0.749044711001632,0.995023533055751
MTFP1,-0.0650457339485268,3.07081475150284,0.101873393032495,0.749592967182513,0.995023533055751
DTNBP1,-0.03466357114072,5.03524897075586,0.101780816937378,0.749702960363711,0.995023533055751
CCDC153,0.0724133256048823,2.68053363015205,0.101746793363287,0.749743398916274,0.995023533055751
CCDC71L,0.0581845820376979,4.1524079647809,0.10171199388817,0.749784767368844,0.995023533055751
VSIG4,0.0504929928977181,8.9498036216,0.101537072319729,0.749992826462871,0.995023533055751
AHR,0.0573418015812753,6.16742311943624,0.101469466179775,0.750073292950057,0.995023533055751
