,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,FTL,1.01090654201878,2.21765734780262,14.9796761667656,1.12927974288265e-50,1.83677350179862e-46
2,CD74,1.05731367467017,-0.0280134033116665,12.7732504475562,1.78645831370773e-37,1.45283722362281e-33
3,FTH1,0.902464962812749,1.95280956561289,12.0138779943426,2.11276931254174e-33,1.14547309561638e-29
4,IFI30,0.668009202327067,-1.09314516796079,11.2257714447375,1.97749676891893e-29,8.04099623661658e-26
5,LYZ,0.771455738357116,-0.329790543983461,9.18788007505247,2.25447526858225e-20,7.33380804869806e-17
6,APOC1,0.689493368583714,-0.548693149245592,7.85326967649105,2.15981849932072e-15,5.85490798190858e-12
7,GRN,0.543755073514054,-1.0014775436967,7.40926332007097,6.67995076796062e-14,1.55213427486971e-10
8,CCDC88A,0.412515798446439,-1.26677428076097,7.29324819114585,1.58658951480264e-13,3.22573480728311e-10
9,FABP4,0.582925526292773,-0.765614451780766,6.80676443089382,5.17545829653064e-12,9.35320324367453e-09
10,MS4A7,0.417228747180701,-1.23734987965346,6.52493449295718,3.50787234765463e-11,5.70555437346026e-08
11,CST3,0.519951335266785,-0.940453721523275,6.30924146080191,1.44038561640843e-10,2.12980655008028e-07
12,LGALS3,0.579312055747737,-0.56185916271297,6.11977116804996,4.79912404739249e-10,6.50481271923657e-07
13,PSAP,0.508748082589676,-0.921032362191877,6.04860854781339,7.47428850188704e-10,9.35148480639943e-07
14,S100A11,0.642724498446552,0.563797811109507,5.92208427690773,1.62330406747923e-09,1.88593147553926e-06
15,CTSD,0.523663889446855,-0.562502137780079,5.2722103786039,6.83066244423171e-08,7.40671497702859e-05
16,S100A9,0.392228762912031,-1.2144334950318,5.14348162435985,1.36502969982384e-07,1.38763800422718e-04
17,TYROBP,0.474159795810124,-0.903393359557916,5.09773445575158,1.73910551136464e-07,1.66391477307917e-04
18,C1QA,0.481189144357719,-0.866266107726,5.02929517856922,2.48914374680106e-07,2.24921794676218e-04
19,SAT1,0.475140735669027,-0.689347169010384,4.4237284411714,4.88390530627262e-06,0.00397183599032621
20,GLUL,0.386188996036227,-1.14879300961545,4.39869956014316,5.48165922238687e-06,0.0042456755834344
21,SLC11A1,0.337751239539317,-1.28844217208285,4.37356861367395,6.15176384721916e-06,0.00454811086250089
22,C1QB,0.430097893400881,-0.950658144272798,4.20181582118927,1.33138039278542e-05,0.00941517482115429
23,CTSZ,0.395106442647885,-1.07142529050162,4.11849319082191,1.91675496075465e-05,0.0129900080986143
24,NEAT1,0.53020111489706,0.37418816193707,3.89516866610153,4.92727746207156e-05,0.0320568671682376
25,CTSB,0.365315752824882,-1.05300932087048,3.23957620296488,5.99808473110773e-04,0.348424457683812
26,ZEB2,0.350143839171391,-1.14294877582915,3.15448717126337,8.05449878604179e-04,0.436688075849899
27,AIF1,0.326023176124144,-1.21249524762234,2.72404481778143,0.00322802841499609,1
28,S100A6,0.424126924104522,1.07349313635006,2.64959129119686,0.00403357953470668,1
29,ASAH1,0.321743239954053,-1.16377382513914,2.42964841566831,0.00756242160508508,1
30,LGALS1,0.391641917018482,-0.466712633328298,2.24329499924338,0.0124459862585799,1
31,CD68,0.30344802386881,-1.23638120072477,2.12196208885984,0.0169284303673275,1
32,BRI3,0.330797463643377,-0.882134995168698,1.90256783694335,0.028557807710545,1
33,ANXA2,0.34308387054637,-0.617052338955396,1.87742480547711,0.0302394013358745,1
34,CTSS,0.316399146809254,-0.960566868734156,1.65493263734533,0.0489792822611787,1
35,CRIP1,0.35543020810643,0.685958031045098,1.45378759300879,0.073012803307702,1
36,SERPINA1,0.284608129845965,-1.17571324299937,1.15801223997245,0.123438510716032,1
