,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,FOXP3,1.2081680884378,-1.32538861904106,74.4179899802779,0,0
2,IL2RA,1.36076923595349,-1.27085816182136,52.2340623348478,0,0
3,TIGIT,1.43411937829735,-1.14793690008078,39.735858976442,0,0
4,TNFRSF4,1.50254857261817,-1.13424396711908,40.5286014069145,0,0
5,CTLA4,1.26204817539811,-1.20405986889711,39.1372575988352,9.04189538454065e-320,2.94132856859107e-316
6,TBC1D4,1.06383470725316,-1.23628247424073,34.2175728121163,1.11917540184439e-247,3.0338979851665e-244
7,TNFRSF18,1.29229085685234,-1.05269676198029,30.3475168941031,7.9940471697213e-197,1.85747396022167e-193
8,LINC01943,1.23197002788633,-1.1165286536219,29.3365354257013,2.00417803506703e-184,4.07474446754565e-181
9,TNFRSF1B,1.28649179699633,-1.0228179775408,28.9123041052303,2.47390958307717e-179,4.47090437430557e-176
10,IL1R1,0.538710923596458,-1.34027477580042,23.6944928895284,3.10965077473311e-122,4.59804271373037e-119
11,BATF,0.974703607589956,-1.11243758842704,22.7286062959961,8.26476196480516e-113,1.12021961131297e-109
12,MAF,1.25870107749105,-0.870980010746786,22.4559929481097,3.24470475863635e-110,4.05962483840156e-107
13,IL1R2,0.433776524556794,-1.35993935192853,22.186742590713,1.10778915145851e-107,1.28701361060519e-104
14,CD27,0.960939462536501,-1.07465122751598,21.2986941912181,1.57423119162379e-99,1.70699135545073e-96
15,ICA1,0.445056341081981,-1.34733692646539,18.2531853420429,5.84120836425857e-74,5.9379533777916e-71
16,RTKN2,0.56289122641285,-1.28809896192406,15.7971869912176,4.46316044852127e-56,4.03296137195547e-53
17,PHACTR2,0.662351338513681,-1.16224905018127,14.2309824269289,5.7350229893212e-46,4.90948152217418e-43
18,ICOS,0.629665747105473,-1.19927848474675,14.1627573824086,1.49893993357721e-45,1.21901290098167e-42
19,IL32,1.1963280572443,1.1811766844221,13.3587647413524,8.85023424687786e-41,6.85471714406992e-38
20,HPGD,0.507693305341885,-1.2857755226294,13.2282300183764,4.96797152885237e-40,3.67291167803563e-37
21,IKZF2,0.616553508683062,-1.18829884362945,13.220948862868,5.46715110138026e-40,3.86622663756304e-37
22,GADD45A,0.51004678405097,-1.27297858283313,12.6374091086554,9.96093647828497e-37,6.4805852727722e-34
23,UGP2,0.666449028926799,-1.03660850834261,11.6314937259604,1.92422686740513e-31,1.1591685184572e-28
24,GLRX,0.638746523459609,-1.07247326519762,11.4396644196784,1.75429391089969e-30,9.83916912440807e-28
25,CARD16,0.641887351420481,-1.07156324154776,11.4212843030011,2.16400587177151e-30,1.17325185014545e-27
26,SAT1,0.821888295228486,-0.689347169010384,11.4016319116802,2.70749287213048e-30,1.42056037307104e-27
27,TNFRSF9,0.396176185682642,-1.32829275899153,10.3366391575437,2.90353140703153e-25,1.47581057298025e-22
28,PRDM1,0.587966542279021,-1.11171923633182,10.0746054438608,4.24017155417272e-24,1.90130030953068e-21
29,LAIR2,0.355396626925475,-1.35120290933872,10.0726422652795,4.32512213050324e-24,1.90130030953068e-21
30,ARID5B,0.619871848913153,-1.04106887582112,10.0489868241418,5.49132217095878e-24,2.35043039764854e-21
31,S100A4,0.962031351624316,1.1023682262218,9.93034211870073,1.80351586015307e-23,7.5215860167666e-21
32,CD4,0.509401766163211,-1.19079328898582,9.9256387574546,1.89003850362273e-23,7.68536906535593e-21
33,DUSP4,0.516646193123374,-1.19530164996483,9.87531717825381,3.11616148013863e-23,1.23620406035256e-20
34,ZC2HC1A,0.397081145687931,-1.31926160721056,9.40728264451795,2.89805774255179e-21,1.12230736149059e-18
35,GBP2,0.580935463768619,-1.02636134465221,9.25967997487071,1.15803589977904e-20,4.38033811858281e-18
36,CTSC,0.71768871380031,-0.546979220397804,9.12984222035629,3.84877292296571e-20,1.42273389981903e-17
37,DNPH1,0.491409830250881,-1.17343827698681,8.85299523319869,4.71765249986013e-19,1.63260889170691e-16
38,LTB,0.826910683195021,0.0419317763025418,8.37903806278185,2.89649438708453e-17,9.61458800121017e-15
39,SOD1,0.652826930362294,-0.608037806456654,8.30847927171054,5.24757135938423e-17,1.70703496320769e-14
40,CMTM6,0.544816853135116,-0.963426397197427,7.53553382983854,2.56690203147805e-14,8.1864042239197e-12
41,LAYN,0.323018854105704,-1.35106014954315,7.40809820720121,6.73867494452854e-14,2.06801033910862e-11
42,ISG20,0.571785564148385,-0.792163846380048,7.25295926182375,2.13600343177114e-13,6.31674469413775e-11
43,SPOCK2,0.55589839471711,-0.848523842821568,7.18827334047392,3.43166149814945e-13,9.96713826203585e-11
44,ENO1,0.57676938659286,-0.599122157549756,6.73474762288781,8.50174890137993e-12,2.34374484543974e-09
45,GAPDH,0.646084753784741,0.301707290166447,6.45109205382609,5.71821959717758e-11,1.5001103507757e-08
46,RGS1,0.528695342415368,-0.927083497956184,6.31308230116436,1.4051634082044e-10,3.62777505308643e-08
47,TRAC,0.636398263017188,0.153207983143769,6.29417768938909,1.58704006707422e-10,4.03331354546284e-08
48,CD2,0.626420714219662,0.464493468053291,5.73533352952889,4.95746736822432e-09,1.20587513985484e-06
49,TRBC2,0.617508094071701,-0.0186747370001362,5.69363056713305,6.33185146144003e-09,1.51452300029885e-06
50,CCND2,0.499327580213731,-0.858493800750856,5.54346966030863,1.50706573762893e-08,3.50177488893351e-06
51,CD3D,0.593314462757725,0.221727043252791,5.47659456125269,2.20194983721832e-08,5.04432592990929e-06
52,ZBTB38,0.415430412536913,-1.1439839717049,5.41340765225055,3.13817217188716e-08,7.08921810774232e-06
53,PIM2,0.404363890699104,-1.1633175635302,5.23037016868046,8.56944280113815e-08,1.84071255294758e-05
54,UCP2,0.447201064683323,-0.96985934748024,5.13554403595513,1.42382078413803e-07,3.0075902667539e-05
55,SRGN,0.548667398750784,-0.0252976648233706,4.90434233881777,4.73491723154785e-07,9.74853528748427e-05
56,DUSP16,0.347671533314146,-1.2750226560236,4.8941751963356,4.98595594513052e-07,1.01370716809435e-04
57,NAMPT,0.38922390552368,-1.16740623663553,4.87118908412077,5.60161534235106e-07,1.11110089687e-04
58,POU2F2,0.362446694254069,-1.23802064287333,4.6505472482236,1.66904962294466e-06,3.23179668061844e-04
59,CORO1B,0.388629916848991,-1.12437901605383,4.45126103248746,4.29838995232609e-06,8.03601293960734e-04
60,STAM,0.327817782783477,-1.30097539277642,4.38973854260321,5.71218153548048e-06,0.00105577991675671
61,IKZF4,0.301298626973875,-1.34034240475398,4.26979197321778,9.84143397734476e-06,0.00179854970383722
62,CD79B,0.308404295911406,-1.31746055285767,3.94452210995536,4.01570197372299e-05,0.00709949919593527
63,NEAT1,0.512414851083625,0.37418816193707,3.70140194421247,1.07579909410066e-04,0.0188149164145669
64,ENTPD1,0.322375164813627,-1.28689687109423,3.5922877909918,1.64405026510844e-04,0.0284473165553072
65,CYTOR,0.409580124190305,-0.84996054035421,3.54895738861494,1.93956271952209e-04,0.0332073554031862
66,CACYBP,0.368245062580263,-1.05998809480197,3.51031796779955,2.24425905401194e-04,0.0380238265765668
67,TMSB10,0.459337733610494,2.143486560046,3.48560282190767,2.46198961742788e-04,0.0408614909463924
