,logFC,AveExpr,t,P.Value,adj.P.Val
CD45RA,0.523567244082568,1.18163480114119,7.7382923981749,5.50706602835017e-15,8.48088168365927e-13
CD94,0.46027232127563,1.02382119022783,6.27234838866095,1.84914213990239e-10,9.49226298483229e-09
CD56 (NCAM),0.366775769647402,1.01389236145046,5.00295990361673,2.86914855761194e-07,8.33557996124168e-06
CD335 (NKp46),0.216976293050721,1.00492703459402,2.40772040414256,0.00803491360629547,0.112488790488137
CD244 (2B4),0.223794935203599,0.843997100304573,2.27066514602514,0.0115938434767209,0.12753227824393
CD7,0.140703643347978,0.565396871610155,0.645636151585955,0.25933231319231,0.999066950414195
CD268 (BAFF-R),0.129296872492855,0.798826973530632,0.594261110875935,0.27617689883618,0.999066950414195
CD69,0.122182622325541,0.567097760347732,0.396912906011677,0.345755282511238,0.999066950414195
CD122 (IL-2Rβ),0.109568884106137,0.770635788193803,0.206798716229547,0.418088555079815,0.999066950414195
CD14,0.0996694181856039,1.09628898337248,0,0.502756103501758,0.999066950414195
CD85j (ILT2),0.0966749672565087,1.45763243779312,0,0.530370743108309,0.999066950414195
CD49f,0.0885908231889488,0.968375660073476,0,0.582370842214201,0.999066950414195
CD49a,0.0821628209235513,1.06192723095029,0,0.600163206421518,0.999066950414195
CD38,0.0839098164711445,1.1547459033128,0,0.629812580715084,0.999066950414195
CD9,0.0806701829623554,0.345721749424196,0,0.635893294028558,0.999066950414195
CD314 (NKG2D),0.0831530340214595,1.28279475265522,0,0.643701283855108,0.999066950414195
GPR56,0.0807194429278928,0.941125208218102,0,0.649045614459183,0.999066950414195
CD272 (BTLA),0.0806849659091824,1.44028242340574,0,0.672822709283818,0.999066950414195
CD62P (P-Selectin),0.0743553086543613,0.922514821803037,0,0.692776929268109,0.999066950414195
CD37,0.0764340124356617,1.54641685581929,0,0.709851329145589,0.999066950414195
CD42b,0.0722041187311203,1.10713816986422,0,0.723614076029005,0.999066950414195
CD103 (Integrin αE),0.0581344157807347,1.09114076557669,0,0.726406885170108,0.999066950414195
CD20,0.0701139026408119,0.767133293849873,0,0.72840045565021,0.999066950414195
CD63,0.0659180824711657,0.32493796575101,0,0.732269580645447,0.999066950414195
NKp80,0.0732357907679024,1.76110372368783,0,0.734165485406368,0.999066950414195
CD270 (HVEM; TR2),0.0722079837499419,1.55387085464219,0,0.743767573310931,0.999066950414195
CD16,0.0660401317346708,0.326562265233036,0,0.744823067088651,0.999066950414195
CD81 (TAPA-1),0.0732522189722408,0.434745737684725,0,0.759426819636907,0.999066950414195
CD83,0.0701036168869467,1.6033359324458,0,0.766423010155023,0.999066950414195
IgD,0.058437870847278,0.539075413387899,0,0.797259803446816,0.999066950414195
CD161,0.0597933899202872,1.16315725712081,0,0.797624295748555,0.999066950414195
CD119 (IFN-γ R α chain),0.0566009418141208,1.39346466312549,0,0.838395982439045,0.999066950414195
CD24,0.0563261222870765,1.84432341786576,0,0.838790741255695,0.999066950414195
CD86,0.0460878424482319,0.626026145057513,0,0.844893302925179,0.999066950414195
CD54,0.0388414152136655,0.776268211842107,0,0.859430854659419,0.999066950414195
CD354 (TREM-1),0.0412762422837293,0.68058527192317,0,0.88222865422422,0.999066950414195
CD123,0.0385754894782741,0.91107741252192,0,0.890876313796073,0.999066950414195
integrin β7,0.0336648269113349,0.700546707509863,0,0.891199392555271,0.999066950414195
CD162,0.0300184061367482,0.803004104432825,0,0.892167359129826,0.999066950414195
CD151 (PETA-3),0.0369444177536178,0.517054962755486,0,0.90187714402891,0.999066950414195
CD163,0.0424562706561377,0.952913127712034,0,0.90487152144595,0.999066950414195
CD11b,0.0323901760839847,0.58841307824581,0,0.911474265236474,0.999066950414195
CD88 (C5aR),0.036991818905187,1.47911351318779,0,0.922948256603267,0.999066950414195
CD40,0.0288177513666538,0.971954006936967,0,0.925636965165645,0.999066950414195
CD142,0.0334402800513553,1.50039927532091,0,0.935067167347397,0.999066950414195
CD134 (OX40),0.0422597097690116,1.37177407849388,0,0.936683051136292,0.999066950414195
CD194 (CCR4),0.0220198111030371,0.850094113101817,0,0.937465136981032,0.999066950414195
CD303 (BDCA-2),0.0343903972348556,1.6475136199143,0,0.937697572099006,0.999066950414195
CD155 (PVR),0.0254753235055084,0.960502741933237,0,0.942308656971819,0.999066950414195
CD223 (LAG-3),0.0280551750981773,1.5302239135379,0,0.951219471453925,0.999066950414195
CD137 (4-1BB),0.0254567640435063,1.95640445058242,0,0.955720313936801,0.999066950414195
CD13,0.018816531051645,1.03514702593745,0,0.95580479504452,0.999066950414195
CD267 (TACI),0.024362525044204,1.51719112812182,0,0.961717646641415,0.999066950414195
Podoplanin,0.0212465615598831,1.79303995690028,0,0.962603431828471,0.999066950414195
CD141 (Thrombomodulin),0.0217273515315344,0.504228706772697,0,0.963400934358624,0.999066950414195
CD192 (CCR2),0.0236450014126376,1.51879982736993,0,0.964579673019462,0.999066950414195
CD109,0.0169964840386133,1.87957798520718,0,0.974240220004972,0.999066950414195
HLA-DR,0.0120722798240146,0.656146936584632,0,0.976109927468332,0.999066950414195
