Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
fibrosis_transcriptional_signature,77,0,1,1,"",0,2,0
pulmonary_fibrosis_ctd,80,0,1,1,"",0,2,0
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,59,0,1,1,"",0,2,0
WP_LUNG_FIBROSIS,46,0,1,1,"",0,2,0
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,10,0,1,1,"",0,2,0
