gene,logFC,logCPM,LR,PValue,FDR
CEACAM4,2.26107355708327,4.07231422686811,21.0232338363057,4.53747457576359e-06,0.0277509358038566
SLC16A10,2.97418739341013,6.33139451399172,20.4564879384105,6.10024130169051e-06,0.0277509358038566
ALDH1A2,4.89738756417449,4.27688672524649,19.7610118188146,8.77546193860756e-06,0.0277509358038566
TGM2,3.67280390348004,5.30244512300066,19.1483545535473,1.20941717564117e-05,0.0286843518632694
CCL5,3.30894853264274,4.41691884959843,17.8368673899601,2.40674545084276e-05,0.0456655881842905
PPM1N,2.8824892963947,4.01485471951491,17.0675109831176,3.60741901519514e-05,0.0520307779008119
NR1H3,3.17982691422687,3.66316154715333,16.9493232486859,3.83910029836285e-05,0.0520307779008119
CALM1,-0.650661159105878,9.92323319144902,16.2526048950685,5.54333285175674e-05,0.0618535318921496
SLC25A40,2.00347220808325,4.5021989437104,16.0656504093813,6.11838404115147e-05,0.0618535318921496
CLEC9A,-2.85887186557941,5.58736312032561,15.9453367249999,6.51981995279325e-05,0.0618535318921496
LINC00937,2.64279996877447,3.68596896428098,15.5433140698243,8.06363167159744e-05,0.0651022984851466
SYTL1,-2.26703043998449,3.94735663125872,15.2006781575973,9.66686988159091e-05,0.0651022984851466
TBCE,2.79594813977166,3.70414836039241,15.1266030062885,0.000100536521692429,0.0651022984851466
S100A10,-1.07388721949212,11.2718494788735,15.1208188996637,0.000100845014639028,0.0651022984851466
ERLIN2,1.8397712290493,4.24157764873278,15.0821144751937,0.000102933959869,0.0651022984851466
SLC2A1,-2.00844221720781,4.65187286252311,14.6200767532919,0.00013150606472755,0.0779748772543917
NAPEPLD,2.78751258026189,3.33919536206886,14.128900564307,0.000170700918019183,0.0903603275525051
ALKBH3,2.25438918871406,3.8747472618932,14.120733284547,0.000171443648776757,0.0903603275525051
OCIAD2,-1.58078290301399,4.43517988509925,13.8306178752217,0.000200049579447959,0.0998879136959362
DDAH2,-0.797532827695832,7.07464979281001,13.5638843652568,0.000230579423892517,0.109375349723416
AQP3,-1.89381150963914,5.18778934714863,13.3764831431522,0.000254799057252933,0.115108507436123
LILRA5,1.33077221029893,4.95540611474448,13.1249379605374,0.00029139100675449,0.117216370914659
PPIB,0.454890105815527,8.87495958149821,12.9797548239517,0.000314877197228059,0.117216370914659
TSPO,-0.589400562231641,8.61034996828627,12.9574565704713,0.000318649790284925,0.117216370914659
NOL12,1.50112744610623,4.47335436699102,12.9537936117854,0.000319273862328465,0.117216370914659
PHKG1,1.78414980188652,4.29517927876578,12.901988309155,0.000328233260227455,0.117216370914659
SULF2,-1.41801161317186,6.28864840593116,12.8716476747126,0.000333597766912174,0.117216370914659
EMP3,-0.768187727478142,9.41273978132632,12.7882574459894,0.000348801871246782,0.118181548304222
TNFAIP3,-1.5220300039944,7.64891421913366,12.6515519312308,0.000375254044873358,0.122759831852191
TMEM256,0.75262361894214,6.36017036409677,12.1546669691824,0.000489651856643442,0.143151243057221
