Set,NGenes,Direction,PValue,FDR,DEG.GENES
fibrosis_transcriptional_signature,13,Up,0.103706123897939,0.29400580715178,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,57,Down,0.117602322860712,0.29400580715178,""
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Up,0.381562112411015,0.618663686596614,""
WP_LUNG_FIBROSIS,31,Down,0.494930949277291,0.618663686596614,"PDGFB,TNF"
pulmonary_fibrosis_ctd,54,Up,0.848760333098519,0.848760333098519,"PDGFB,TNF"
