Set,N,DE,P.DE,FDR,DEG.GENES
fibrosis_transcriptional_signature,89,1,0.12313573755336,0.6156786877668,DHRS9
pulmonary_fibrosis_ctd,84,0,1,1,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1,""
WP_LUNG_FIBROSIS,49,0,1,1,""
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1,""
