,Set,N,DE,P.DE,FDR
1,WP_LUNG_FIBROSIS,49,2,0.0318249888337486,0.159124944168743
2,pulmonary_fibrosis_ctd,84,2,0.0830647909480321,0.20766197737008
3,fibrosis_transcriptional_signature,89,0,1,1
4,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1
5,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1
