Set,NGenes,Direction,PValue,FDR,DEG.GENES
fibrosis_transcriptional_signature,8,Up,0.00437823850714128,0.0218911925357064,""
WP_LUNG_FIBROSIS,21,Up,0.30604349636701,0.765108740917524,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,56,Up,0.459821590864001,0.766369318106669,""
pulmonary_fibrosis_ctd,35,Up,0.755648262364174,0.944560327955218,""
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,7,Down,0.958837240861392,0.958837240861392,""
