Set,NGenes,Direction,PValue,FDR,DEG.GENES
fibrosis_transcriptional_signature,7,Up,0.101798906310526,0.508994531552632,""
WP_LUNG_FIBROSIS,21,Up,0.373324782597461,0.933311956493653,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,56,Down,0.659495165434694,0.936996443785994,""
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Down,0.801131398070102,0.936996443785994,""
pulmonary_fibrosis_ctd,35,Up,0.936996443785994,0.936996443785994,""
