,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,TRDC,0.844503622687392,-0.990712944415882,22.6148554803282,9.89800926637098e-112,1.54626700759247e-107
2,TRGC2,0.793822219490748,-0.870899224078354,19.9311130888675,1.36365105546398e-87,1.06514783942292e-83
3,CD7,0.843973380129357,-0.484240026208863,17.5200905697123,2.28927067628273e-68,7.15259730097776e-65
4,LEF1,0.497794241504575,-1.24679042898458,16.6121242620907,9.70949010090205e-62,2.52802757260486e-58
5,TCF7,0.559307837792585,-1.11670065882444,15.6499781656304,4.3768762155593e-55,9.76793717706676e-52
6,ZNF683,0.630915533178499,-0.974044584626706,15.190189924301,4.85579981599553e-52,9.48216309068528e-49
7,LTB,0.757369807275548,0.0169699640131173,11.7704374116826,3.79141677142273e-32,4.93579273359716e-29
8,IFITM2,0.639781435180015,-0.300583627478268,10.6562291690462,1.00723977042064e-26,1.21039228411624e-23
9,MAL,0.371951823470964,-1.29357690082382,9.71313499141995,1.53437428277201e-22,1.71214250324745e-19
10,JUNB,0.612115586342957,-0.215100229585573,9.01228153484992,1.12526979982963e-19,1.17193098752924e-16
11,NUCB2,0.431924424235922,-1.1139448799949,8.89085826718334,3.3619390067435e-19,3.28251319770918e-16
12,ZFP36L2,0.596212889821975,0.102276482789042,8.7437921986733,1.24154980951879e-18,1.07752728468347e-15
13,PABPC1,0.56748279349025,-0.0760808482887355,8.65951419568208,2.60007148386192e-18,2.13780614320478e-15
14,KLF2,0.47711975044127,-0.932532560665792,8.27153867920598,7.14650692165744e-17,5.58213655650663e-14
15,FOS,0.587345223584857,0.159475161980457,7.39258074194496,7.56926209637564e-14,4.92695885289917e-11
16,KLRC2,0.368083167546357,-1.09295238268058,5.2274414773846,8.70552643100067e-08,4.38702367435782e-05
17,PPP2R5C,0.411611829981479,-0.57294358309265,4.93562261171285,4.03641262514884e-07,1.97052618843985e-04
18,CTSW,0.367103515227149,-0.828874269974865,4.30883750001618,8.2564759444239e-06,0.003793607858935
19,KLRC3,0.316496780675405,-1.26051445332109,4.15124081619806,1.66225567902002e-05,0.00741935949075734
20,NCR3,0.304779760931998,-1.26423419274843,3.91455708845597,4.54795237326316e-05,0.0186968715723992
21,RTKN2,0.294172536690219,-1.30299858699226,3.57455363689706,1.75947783007754e-04,0.0687164066536785
22,TRG-AS1,0.331144800518795,-1.01302156398695,3.26991243774034,5.39081224036593e-04,0.200512544807135
23,RIPOR2,0.322895054487763,-1.04191612493561,3.11907884234466,9.08755187215466e-04,0.322649398515455
24,IKZF2,0.295943251323373,-1.20418743479426,2.65391853094065,0.00398222525429713,1
25,HCST,0.337560923560296,0.0181271871968159,2.29529203060262,0.0108648652110612,1
26,TXNIP,0.344452084876957,0.681280960173556,2.18646470804926,0.0143982873590232,1
27,GYPC,0.307405129108559,-0.811916946073509,2.11205399722983,0.0173489133608936,1
28,DDIT4,0.29770672225816,-1.0532550496563,2.08741807625378,0.018433352752679,1
29,LINC02446,0.294878303805033,-1.0374960037109,1.78068691749669,0.0374916291332034,1
30,FAU,0.309871108890491,1.78153069218547,1.70716625670477,0.0439056252616116,1
31,STK17A,0.3064494516699,-0.498385123584589,1.70285317804662,0.0443078325477328,1
32,LYAR,0.275875232219291,-1.08476272857322,1.20443454601407,0.114220059741686,1
33,TLE4,0.277660368612584,-1.07606046148376,1.1938481641525,0.116277849964001,1
34,CD52,0.289058934871085,0.911925090178388,0.946890018097605,0.171854818065842,1
35,IL7R,0.282413203474086,-0.59291809022283,0.941102693687894,0.173333475680788,1
36,EEF1B2,0.259448847534954,0.420204902759753,0.241433303352384,0.404611254084625,1
37,KLRK1,0.24986742414338,-0.996924816586638,0,0.501986003136792,1
38,PFDN5,0.242700374411812,0.388481550276427,0,0.576688426027017,1
39,RUNX3,0.243766480440767,-0.840534589247208,0,0.58581852548052,1
40,EEF1A1,0.243173742385631,3.0492365586449,0,0.58985007840878,1
41,ZFAS1,0.218903810206828,-0.343057346281222,0,0.810169869987055,1
42,EEF1D,0.214307745048977,0.39659072484349,0,0.826998372624111,1
43,CD27,0.228109265736509,-1.09193517583479,0,0.853674389548062,1
44,NACA,0.204498427915234,1.22142515061917,0,0.886549344228906,1
45,IER2,0.206914935054856,-0.580992696414026,0,0.900971206149723,1
46,UBA52,0.197317910094925,1.37575490686127,0,0.921616878529603,1
47,IL32,0.185551163400828,1.14547516124959,0,0.924718613748487,1
48,MBP,0.202958021913158,-0.793567675337092,0,0.946904210275211,1
49,RACK1,0.183924204889758,0.907114943986006,0,0.955593193420468,1
50,NOP53,0.194138518376195,-0.473224174610309,0,0.964467484664045,1
51,TPT1,0.193666963265734,3.41880402547389,0,0.975673251345222,1
52,TMSB10,0.16402179216807,2.01326379965092,0,0.991020132552326,1
53,ATM,0.180462433880086,-0.89299243688987,0,0.995126976803742,1
54,TNRC6B,0.1731689616497,-0.778965770047019,0,0.995303495286529,1
55,STK17B,0.155762710476282,-0.26738277899556,0,0.995406480671161,1
56,TSC22D3,0.141845367505189,-0.022228144680436,0,0.996245262035866,1
57,GAS5,0.164618232462733,-0.764323908049099,0,0.997460399219609,1
58,IFITM1,0.190902866483259,-1.14047368385091,0,0.998043705580519,1
59,MALAT1,0.135174643134496,6.3139227639982,0,0.99824792662969,1
60,ITGB2,0.1656468655104,-0.77121150814803,0,0.998485154563277,1
61,ZFP36,0.155675348428672,-0.785209633331666,0,0.999138948031345,1
62,ETS1,0.127591343597511,-0.322776044683473,0,0.999585312865217,1
63,UQCRH,0.146008460709707,-0.60698533474239,0,0.999671576213548,1
64,DDX5,0.109795478234841,1.17406881373784,0,0.999798395056512,1
65,SKP1,0.131018506383499,-0.416821611707608,0,0.999817815762622,1
66,RAC2,0.12897847099476,-0.348608578240289,0,0.999858851197701,1
67,NCF1,0.178540178683679,-1.15130282049413,0,0.999863921307023,1
68,TMSB4X,0.156566974670084,3.92165694392537,0,0.999909887751395,1
69,PRKCH,0.163326675815048,-1.01757035097725,0,0.999936718013214,1
70,PNRC1,0.108564937179642,-0.335526432947402,0,0.999960093610304,1
71,GTF3A,0.134783080519917,-0.742366551459211,0,0.999965472929551,1
72,SNHG6,0.125439997242948,-0.778589089409545,0,0.999976943516571,1
73,CAST,0.110518055727271,-0.536165082396972,0,0.99997993227182,1
74,SNHG5,0.132078740606119,-0.868512950016617,0,0.999984548128222,1
75,FOSB,0.104053433594423,-0.596990646804855,0,0.999988953737972,1
76,ISG20,0.130801553202053,-0.811681613834345,0,0.999991198805657,1
77,DGKD,0.188945744739455,-1.26495089369861,0,0.999991724498223,1
78,BTG1,0.0727557292397978,0.589904620969186,0,0.99999269887123,1
79,CD3G,0.0857026932902491,-0.117382269216819,0,0.999993129004402,1
80,TPST2,0.176906702269418,-1.20018062405422,0,0.999995350519214,1
81,LIMD2,0.108775565104961,-0.663420973506291,0,0.999997740978293,1
82,ARL4C,0.0936307619149905,-0.483360973841854,0,0.999997903177876,1
83,PSME1,0.0797589555187976,-0.186857451236876,0,0.999998406221472,1
84,EVL,0.085640432230176,-0.18025079284184,0,0.999998449920833,1
85,UXT,0.125996570809653,-0.857697036301095,0,0.999998860595528,1
86,CD3E,0.0783280333112751,-0.0854739818483599,0,0.999999160138021,1
87,CD3D,0.0592854704604,0.1921110678858,0,0.99999934188391,1
88,ACTB,0.0642441767308188,2.14285675572053,0,0.99999934238992,1
89,TAGLN2,0.0810508427219348,-0.31783224689539,0,0.999999393488412,1
90,DUSP1,0.0731713387915739,-0.388314093179296,0,0.999999394183429,1
91,PDCD4,0.105960814273328,-0.781771122153883,0,0.999999559460884,1
92,PITPNC1,0.165683681405177,-1.1798443735272,0,0.999999591743344,1
93,COMMD6,0.0763117696181735,-0.27168481466201,0,0.999999629249513,1
94,TSPO,0.129154947224534,-0.843155983390764,0,0.999999709098556,1
95,XCL1,0.136058093806376,-1.0955664964652,0,0.999999732408808,1
96,SRSF5,0.0724614798672289,-0.232688566876721,0,0.999999770026249,1
97,ARID5B,0.132641584508325,-1.05696241256728,0,0.999999830737097,1
98,ACTG1,0.0323767812157428,0.814669074910103,0,0.999999898189246,1
99,DUSP2,0.140301294099391,-1.12203741277138,0,0.999999913884398,1
100,SPINT2,0.197071909240257,-1.31457320204389,0,0.999999919055096,1
