Set,N,DE,P.DE,FDR,DEG.GENES
fibrosis_transcriptional_signature,90,1,0.082442607464584,0.41221303732292,CTSK
pulmonary_fibrosis_ctd,84,0,1,1,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,59,0,1,1,""
WP_LUNG_FIBROSIS,49,0,1,1,""
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1,""
