,Set,NGenes,Direction,PValue,FDR
1,WP_LUNG_FIBROSIS,30,Down,0.0548487214478783,0.274243607239391
2,pulmonary_fibrosis_ctd,52,Down,0.116076260089432,0.290190650223581
3,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,57,Down,0.183132538938065,0.305220898230109
4,fibrosis_transcriptional_signature,13,Up,0.674813829630465,0.843517287038081
5,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Down,0.938161082731873,0.938161082731873
