Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
fibrosis_transcriptional_signature,101,1,0.236164872267444,1,DHRS9,1,57,0.0175438596491228
pulmonary_fibrosis_ctd,85,0,1,1,"",0,57,0
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1,"",0,57,0
WP_LUNG_FIBROSIS,50,0,1,1,"",0,57,0
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1,"",0,57,0
