,logFC,logCPM,LR,PValue,FDR
RPH3A,2.56698054754609,0.412126318130363,48.9802365637886,2.58554604889455e-12,2.92916511879263e-08
EMB,-1.74998088145255,0.427501133828987,42.29950125522,7.83125284851986e-11,4.43601317604407e-07
RIPOR2,-1.5027857945852,2.38298828094527,38.6402703165725,5.09566406367968e-10,1.92429260591424e-06
NRGN,-0.949797705457016,3.18873456317221,28.5907198207165,8.94096631517663e-08,0.00025323051846159
CCL20,-3.64401276388407,4.70069946268982,27.8075850537157,1.33999730812933e-07,0.000303616590075943
CRIP2,-1.83780702569677,0.763114331316857,26.6632998702272,2.42178015462933e-07,0.000457272456196594
ANTXR2,-1.41235868700795,0.396493982211076,24.4568953195183,7.59910563591616e-07,0.00113132522818236
CKAP4,-0.737248869689478,3.6560624981745,24.3605314061267,7.98887971176528e-07,0.00113132522818236
KCNAB1,0.936067088986411,5.14827190832489,23.1701507699847,1.48281181987256e-06,0.00171604115989339
MEF2C,-0.694173593191058,3.09439810474719,23.0959884224356,1.54111897291372e-06,0.00171604115989339
EMP1,-1.49599492283603,2.59465766717161,22.945952746307,1.66620644000594e-06,0.00171604115989339
RTL5,-1.44618405020681,0.880796456116362,22.3571228824673,2.26371892044073e-06,0.00213713930413942
CAPN11,1.52173116746116,1.32472364240398,21.9908593462321,2.739520569462e-06,0.00238738681011039
LINC01597,-1.24158516429821,0.760614311439908,21.7095632963598,3.1720599822482e-06,0.00250427670001861
C3,2.19756209786958,2.94478571372382,21.503491828722,3.53184966199271e-06,0.00250427670001861
CXCL3,-1.6853276417039,7.49876988153084,21.5008049211634,3.53680176540716e-06,0.00250427670001861
OTUD1,-0.809540044853518,5.38662133658393,21.2932635125471,3.94114056787303e-06,0.00262642244079021
LAMC1,1.8228201167907,0.339977395789491,20.4082651385676,6.2559025397081e-06,0.00393739554846406
AP1S2,-0.528532807046529,5.68836744885312,20.1469603229256,7.17141228265683e-06,0.00427604893422207
CXCL2,-1.97676713954221,6.10018772415731,19.7295373297254,8.92117894503881e-06,0.00505340181341723
NECTIN2,0.617973105698563,3.82334617176604,19.2039392675398,1.17470731081214e-05,0.00633726624961463
PDGFB,-1.48091445455256,0.523229048776347,18.2752137533454,1.91178563548972e-05,0.00960005344363717
LSAMP,0.431496407868357,5.84899578662197,18.2270978259187,1.96069334594686e-05,0.00960005344363717
CCND2,-0.849889477744881,1.86709969091782,18.1574429394947,2.0337300966307e-05,0.00960005344363717
PDLIM7,-0.592750490388415,5.4420988517175,17.7587760856757,2.50758070089377e-05,0.0112098754324133
VIM-AS1,-0.601715557651684,3.585599728533,17.6248246761289,2.69053255755449e-05,0.0112098754324133
CXCL1,-1.90451946333833,1.23853464340969,17.5428610019611,2.80903458271867e-05,0.0112098754324133
GALNS,-0.518586628761018,4.89828508629871,17.5337908412325,2.82246632388178e-05,0.0112098754324133
SCN9A,-2.29648043404101,1.17245050492896,17.5023641287495,2.86950646606042e-05,0.0112098754324133
PRKCB,-1.3851310557527,1.25791100549126,17.183889179899,3.39301740050502e-05,0.0128131647101071
CXCL8,-1.85828555370178,5.67782804943286,16.9248209480029,3.88897293764634e-05,0.0140383586316271
S100A10,-0.504878258287911,11.4579758906935,16.8445676788839,4.05692846717823e-05,0.0140383586316271
IQGAP2,-0.407070794253118,6.70312399735558,16.8295292126992,4.08920323809423e-05,0.0140383586316271
PLEC,-0.286286924890128,6.8592951720809,16.7383971679407,4.29038336139701e-05,0.0142958097356667
TRHDE-AS1,1.45719946975642,1.94340591831065,16.606991009407,4.59812176810641e-05,0.0147041144669854
CRH,3.21144596409344,2.45157661939092,16.5689018258975,4.69140338072924e-05,0.0147041144669854
PLEKHG3,-0.71126071582298,2.7148388033418,16.5245997206678,4.80229707192567e-05,0.0147041144669854
CCL24,-2.00014041506268,2.09756601055133,16.3247623946095,5.33620783938758e-05,0.0159089206874795
PTGS2,-1.71903269104278,2.59654157540787,16.218354862456,5.64445699380946e-05,0.0163964239186839
NR4A2,-1.09811732403552,3.49970245997737,15.7137180433929,7.36878089512819e-05,0.0208702296902268
RNASE2,-1.00582686622673,0.757811502013219,15.4266860510343,8.57685048580099e-05,0.023699302232595
AKR1C1,1.80544272714404,2.52611929510427,15.1443832211529,9.95941551663591e-05,0.026864337711421
EPB41L4A-DT,0.882032005563404,1.30846196651885,14.896442560613,0.000113576965153504,0.029390556427102
NLRP12,-0.78090993587999,2.35873304435475,14.8869793494886,0.000114148158071541,0.029390556427102
HPGD,-0.713971050615116,6.56370205681854,14.7206694252545,0.000124672025852092,0.0313868751306299
LZTS2,0.593160222846802,2.52923284827231,14.5681430137116,0.000135180699714786,0.0332926553710612
LPL,0.578606964145911,8.62315231357035,14.3388256557865,0.000152683223254493,0.0365192762572223
PDGFD,1.42766786914928,4.90035622242238,14.3137682800381,0.00015472903701533,0.0365192762572223
TBC1D2B,0.504039795541375,4.79253747023779,14.1130333967454,0.000172146855625548,0.0398010556608538
ESR1,0.821571360676586,2.91219220646709,14.0012343558625,0.000182690660546245,0.0411568075111279
HK2,0.300263594619912,6.37071282119519,13.9013826396602,0.000192656691817079,0.0411568075111279
OPRK1,1.00776281999206,1.69298409835355,13.8886670276755,0.000193964524576643,0.0411568075111279
TGM2,0.704000620449722,8.33904902143794,13.8761071681553,0.000195265117971553,0.0411568075111279
RHOBTB1,0.782290589131041,2.38463301759004,13.8673695473081,0.000196175090970157,0.0411568075111279
SH3BGRL,-0.168131006288181,8.8466588562064,13.5573204361332,0.000231387193088335,0.0470212323052588
