,Set,N,DE,P.DE,FDR
1,WP_LUNG_FIBROSIS,50,3,0.00123525729464553,0.00617628647322765
2,pulmonary_fibrosis_ctd,85,3,0.00559799800129138,0.0139949950032284
3,fibrosis_transcriptional_signature,104,1,0.356586029409475,0.594310049015791
4,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1
5,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1
