Set,NGenes,Direction,PValue,FDR,DEG.GENES
pulmonary_fibrosis_ctd,56,Down,0.12680100224689,0.63400501123445,""
WP_LUNG_FIBROSIS,33,Down,0.260467237195269,0.651168092988172,""
fibrosis_transcriptional_signature,13,Up,0.449691382727548,0.705901270642653,DHRS9
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,57,Up,0.671740437720288,0.705901270642653,""
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Up,0.705901270642653,0.705901270642653,""
