Set,N,DE,P.DE,FDR,DEG.GENES
fibrosis_transcriptional_signature,101,1,0.0550816910816244,0.275408455408122,DHRS9
pulmonary_fibrosis_ctd,85,0,1,1,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1,""
WP_LUNG_FIBROSIS,50,0,1,1,""
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1,""
