,Set,NGenes,Direction,PValue,FDR
1,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Down,0.0637025227837396,0.215074537677593
2,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,57,Down,0.0860298150710374,0.215074537677593
3,WP_LUNG_FIBROSIS,33,Down,0.298070521405383,0.382087585350457
4,fibrosis_transcriptional_signature,14,Down,0.305670068280366,0.382087585350457
5,pulmonary_fibrosis_ctd,56,Down,0.413257980649768,0.413257980649768
