,Set,N,DE,P.DE,FDR,DEG.GENES
1,fibrosis_transcriptional_signature,97,0,1,1,
2,pulmonary_fibrosis_ctd,83,0,1,1,
3,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1,
4,WP_LUNG_FIBROSIS,48,0,1,1,
5,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1,
