Set,N,DE,P.DE,FDR,DEG.GENES
WP_LUNG_FIBROSIS,48,1,0.0526539963317577,0.223403463090767,PDGFB
pulmonary_fibrosis_ctd,83,1,0.089361385236307,0.223403463090767,PDGFB
fibrosis_transcriptional_signature,97,0,1,1,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1,""
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1,""
