Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
fibrosis_transcriptional_signature,97,0,1,1,"",0,27,0
pulmonary_fibrosis_ctd,83,0,1,1,"",0,27,0
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1,"",0,27,0
WP_LUNG_FIBROSIS,48,0,1,1,"",0,27,0
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1,"",0,27,0
