,logFC,AveExpr,t,P.Value,adj.P.Val
CD9,1.38604090202541,0.0892793579132471,20.47203364911,1.04163160811277e-91,1.60411267649367e-89
CD63,0.962283639086473,0.258389233295683,16.3259621221161,1.65696532249804e-59,1.27586329832349e-57
CD82,0.518817489896463,0.777891706300082,11.8230719089066,2.34155293137571e-32,1.20199717143953e-30
IgE,0.477538819021376,1.88761414983611,10.1703390480561,1.72996496495916e-24,6.66036511509277e-23
CD107a (LAMP-1),0.58338669643679,0.366547648670107,9.532290428108,9.34865023751905e-22,2.87938427315587e-20
CD38,0.491521050036329,0.552524392292354,8.86642906636852,4.37247203365676e-19,1.1222678219719e-17
FcεRIα,0.463599246722718,0.982730903889371,8.16497784252616,1.78709532614861e-16,3.44015850283608e-15
CD151 (PETA-3),0.425993665809039,0.355900872514476,7.16617293344571,4.10878618212199e-13,7.03058968940874e-12
CD44,0.484999430677291,0.618968602722226,6.89368558601529,2.87055195847526e-12,4.4206500160519e-11
CD84,0.282588928897824,0.784053784728124,4.56125978482837,2.57049032898157e-06,2.32856182743036e-05
CD305 (LAIR1),0.330127001175849,0.946989100223043,4.23899917039657,1.13196443845713e-05,9.17486965907362e-05
CD274 (B7-H1; PD-L1),0.261564435326559,0.931348403980279,3.86452050338911,5.59807522446834e-05,4.10525516461012e-04
CD103 (Integrin αE),0.240424132118309,1.01266216467937,2.76155971251795,0.00288117810138796,0.0170654395236056
CD81 (TAPA-1),0.200712947448421,0.38150324764464,2.72496230591997,0.00322063939385374,0.0183695728390176
KLRG1 (MAFA),0.216245151189399,0.558978144645154,2.56966859623071,0.00509646421550789,0.0261618496396072
CD33,0.239101062631357,0.781741241808208,2.50240639946974,0.00617497217711753,0.0306756682347129
CD99,0.225504944800462,0.799694264837,2.25201300728752,0.0121707686979069,0.0567969205902324
CD71,0.246476242078567,0.15266321949587,2.23845192975213,0.0126060459958739,0.0570979730401347
CD22,0.202449482305812,0.511280469858631,1.92317377434117,0.0272423041107736,0.107572175206644
CD278 (ICOS),0.166011301201346,1.38330009502379,1.51188267072543,0.0652965440449116,0.23385273913759
CD354 (TREM-1),0.165164965335359,0.45709916850626,1.4280504114216,0.0766531924469627,0.26828617356437
CD122 (IL-2Rβ),0.139256531460119,0.768068191616674,0.962679295187594,0.167865066431462,0.538567088134273
CD131,0.125304558736912,1.46113512076715,0.587293621032285,0.278509511836827,0.857809296457427
CD41,0.115985489072902,0.324595435797814,0.380184039578878,0.35190829800765,0.999593179964132
CD3,0.117392851696623,0.793949008364813,0.335347651919558,0.368698661773055,0.999593179964132
CD328 (Siglec-7),0.118446862423473,0.640374055651244,0.334443000634692,0.369063551961367,0.999593179964132
CD61,0.105720010973654,0.847460135107896,0.111680924240283,0.45556896679646,0.999593179964132
TCR Vδ2,0.0993333677727388,0.593655604811079,0,0.505449621887133,0.999593179964132
CD194 (CCR4),0.0967238317733663,0.91386720534815,0,0.525876611648591,0.999593179964132
integrin β7,0.0878462337772898,0.944312839273236,0,0.599526099050736,0.999593179964132
CD47,0.0817745583934126,0.343568274047757,0,0.644733894115217,0.999593179964132
CD52,0.08222541426086,0.888021991127373,0,0.655657473660761,0.999593179964132
CD169 (Sialoadhesin; Siglec-1),0.0842214244693378,2.07591329663239,0,0.660590580601727,0.999593179964132
CD161,0.0821019543730778,1.42474052978777,0,0.663067498440033,0.999593179964132
Ig light chain λ,0.0699729177834957,0.0508643494893919,0,0.76518376029586,0.999593179964132
CD163,0.0586992223683047,0.787136247757077,0,0.867046951242018,0.999593179964132
CD7,0.0407220980098601,0.53581213781951,0,0.891326782960707,0.999593179964132
CD335 (NKp46),0.042965884920092,1.1699158094233,0,0.892083868107695,0.999593179964132
TIGIT (VSTM3),0.0516789230619673,1.43437652836306,0,0.900692498751808,0.999593179964132
CD88 (C5aR),0.0490370881818952,1.66790932712662,0,0.901438036606319,0.999593179964132
CLEC12A,0.0209528371545651,0.506030416528632,0,0.924527079000524,0.999593179964132
CD183 (CXCR3),0.0446283935445214,1.16606209486642,0,0.936023372111837,0.999593179964132
CD141 (Thrombomodulin),0.034456784196773,0.332822162026582,0,0.944219848018763,0.999593179964132
CD56 (NCAM),0.0258683939834909,1.12532966664497,0,0.948511775518917,0.999593179964132
CD62P (P-Selectin),0.0192043490242342,1.00153113768266,0,0.961167060905192,0.999593179964132
CD16,0.0183677590799191,0.306150711270352,0,0.962827171313673,0.999593179964132
CD31,0.0109438360121778,0.409112742051814,0,0.96419984198684,0.999593179964132
CD8,0.0151659400828586,0.460529750221906,0,0.969347107007183,0.999593179964132
LOX-1,0.0377212040024024,1.14347063095921,0,0.969358082230122,0.999593179964132
CD28,0.0257290605521316,0.799510772482887,0,0.97015119966456,0.999593179964132
TCR α/β,0.0177160974450541,1.25698343495709,0,0.972831584598059,0.999593179964132
Ig light chain κ,0.0241846921043351,0.0903224890257416,0,0.977135146008162,0.999593179964132
CX3CR1,0.0365302685005682,1.55233638633771,0,0.979426577924522,0.999593179964132
CD303 (BDCA-2),0.0249059233319893,1.81899680895372,0,0.982005998129801,0.999593179964132
CD150 (SLAM),0.0225668114650505,2.04585256048148,0,0.993219880328505,0.999593179964132
CD25,0.00290233796161943,0.752640560027417,0,0.993358566508613,0.999593179964132
CD137 (4-1BB),0.0111851572348628,2.23797406675122,0,0.9933719262463,0.999593179964132
CD109,0.00782668759401997,2.16479046733973,0,0.995538259426816,0.999593179964132
CD115 (CSF-1R),0.00733591484771078,1.84925836444123,0,0.995581715442915,0.999593179964132
Podoplanin,0.00574389267586308,2.06872602369425,0,0.996198003419589,0.999593179964132
CD158 (KIR2DL1/S1/S3/S5),0.00358412158978435,1.00049547595887,0,0.996501705131387,0.999593179964132
CD58 (LFA-3),0.00618576734581482,0.967729394002824,0,0.99685020354971,0.999593179964132
CD79b (Igβ),0.00483427902045243,1.29283628385667,0,0.996952093766342,0.999593179964132
CD85j (ILT2),0.00222792573864407,1.29631557605204,0,0.998784314963101,0.999593179964132
CD314 (NKG2D),0.00199809011878767,1.64752633080457,0,0.99894376266385,0.999593179964132
CD200 (OX2),0.00900988747301205,1.48212013672684,0,0.999294252015104,0.999593179964132
CD74,0.0170054745143594,0.760320684400226,0,0.99942517718325,0.999593179964132
