,logFC,AveExpr,t,P.Value,adj.P.Val
CD45RA,0.926109297312395,1.50530158263368,52.7603776327279,0,0
CD20,0.730237299503745,0.962561470506908,38.257655242927,1.14546219821109e-300,8.82005892622542e-299
CD19,0.683080981864086,0.602206276862356,33.7628131822312,6.57656369613122e-238,3.37596936401403e-236
CD82,0.280268297821824,0.777891706300082,16.3437908135969,1.24576525970779e-59,1.91847849995e-58
CD352 (NTB-A),0.256510823600699,1.15224259115413,10.6805691012434,8.51743907600071e-27,9.36918298360079e-26
CD22,0.261168623615556,0.511280469858631,9.71666371887246,1.57977918461742e-22,1.52053746519427e-21
HLA-A;B;C,0.253441872485128,0.415803484564059,9.2721371501247,1.08653163494792e-20,9.29588176566557e-20
CD95 (Fas),0.181763809404208,0.656065918742593,6.33222858870511,1.25641765648154e-10,8.79492359537076e-10
CD48,0.224441466439705,0.811401770619282,5.75074447220831,4.56360464937141e-09,2.9874441674173e-08
CD52,0.163075701681747,0.888021991127373,4.56559384547381,2.51804688733371e-06,1.25090071177223e-05
CD196 (CCR6),0.14799985199168,0.700841510636726,3.75750363532068,8.62618132518012e-05,3.59035655156145e-04
CD27,0.142910026982947,0.684479723424041,2.64529645310402,0.00408690065711228,0.0149853024094117
CD35,0.145288881386149,0.792338099653258,2.49077262261007,0.00638076424483156,0.0224331941302256
CD62L,0.107504088992051,0.388208524970357,0.483858484457864,0.314248077244328,0.864182212421903
CD24,0.101598063176225,2.10672383592713,0.140613496214397,0.44408895919259,1
CD45,0.0853838821135126,0.804492218259836,0,0.797181307820157,1
CD21,0.0862806706371384,0.540868331867556,0,0.806719543683994,1
CD39,0.0824165528109548,1.49193953916791,0,0.859852169183389,1
CD268 (BAFF-R),0.0633085489671708,0.923845625444032,0,0.992198817379677,1
CD72,0.0574219136247248,0.907724200496019,0,0.993725514528509,1
CD40,0.0616213069612628,0.581628817710075,0,0.995103787497416,1
CD37,0.0666288891279857,1.75158358087915,0,0.997243025616299,1
CD69,0.0536733884969611,0.559895799670153,0,0.998312411140527,1
Podoplanin,0.0628192958570929,2.06872602369425,0,0.999186482884458,1
CD185 (CXCR5),0.0604404884945811,1.57814381701486,0,0.999267929855064,1
TCR Vδ2,0.0409415046303061,0.593655604811079,0,0.999945213286919,1
CD272 (BTLA),0.0425039527168155,1.66341369775801,0,0.999998376830248,1
CD335 (NKp46),0.032222987803371,1.1699158094233,0,0.99999870462404,1
CD158e1 (KIR3DL1; NKB1),0.0374829356156234,1.32064848434234,0,0.999998961798585,1
CD94,0.0299574196186971,1.07785766500275,0,0.999999110308716,1
CD109,0.0451088429111775,2.16479046733973,0,0.999999138835348,1
CD99,0.0156518441459207,0.799694264837,0,0.999999407385066,1
GPR56,0.0254166765589291,1.08257288441316,0,0.999999779504908,1
IgD,0.0173161897175573,0.61927628822311,0,0.99999992423429,1
CD25,0.0156173634844071,0.752640560027417,0,0.999999946193112,1
CD195 (CCR5),0.0337699135637018,1.08877997940633,0,0.999999953457608,1
CD73 (Ecto-5'-nucleotidase),0.0162924405926062,1.01817854295667,0,0.999999963527526,1
CD158 (KIR2DL1/S1/S3/S5),0.0309533686885795,1.00049547595887,0,0.999999972164293,1
CD152 (CTLA-4),0.0316649951767049,1.70273263244106,0,0.99999999404617,1
CD61,0.00723866225502099,0.847460135107896,0,0.999999996922795,1
TCR Vα7.2,0.0214996163477827,1.39737314974094,0,0.999999997250635,1
CD3,0.00554936544949466,0.793949008364813,0,0.999999997483326,1
CD183 (CXCR3),0.0331690383642741,1.16606209486642,0,0.999999998127358,1
CD146,0.0109695392197425,1.01658795400773,0,0.999999998908661,1
CD57 Recombinant,0.0141004583599128,1.20969123214934,0,0.999999999038972,1
CD119 (IFN-γ R α chain),0.0262599181909523,1.06714066608984,0,0.99999999959104,1
CD161,0.0138752776219022,1.42474052978777,0,0.999999999959085,1
CD267 (TACI),0.0209731801296331,1.42950082076583,0,0.999999999987041,1
TIGIT (VSTM3),0.0201566149331068,1.43437652836306,0,0.999999999995253,1
CD137 (4-1BB),0.0182031967971069,2.23797406675122,0,0.999999999999511,1
CD42b,8.90182327736093e-04,1.28599139446219,0,0.999999999999897,1
CD319 (CRACC),0.00654307993899317,1.53099372444011,0,0.999999999999963,1
CD314 (NKG2D),0.0142615168361222,1.64752633080457,0,0.999999999999969,1
CD79b (Igβ),0.0117504608977271,1.29283628385667,0,0.999999999999973,1
CD41,0.001338995773161,0.324595435797814,0,0.999999999999979,1
CD223 (LAG-3),0.0115349137674518,1.81682804768408,0,0.999999999999993,1
NKp80,0.0146426595097242,2.01132608841623,0,0.999999999999997,1
CD192 (CCR2),0.0101693635821005,1.57684621132614,0,1,1
CD115 (CSF-1R),0.0054122254440802,1.84925836444123,0,1,1
CD154,0.0126026970335611,1.82385295299655,0,1,1
CD150 (SLAM),0.0192952675499718,2.04585256048148,0,1,1
CD270 (HVEM; TR2),0.00137696530569301,1.70394793717737,0,1,1
CD279 (PD-1),0.0113243995557823,2.12499842506601,0,1,1
CD303 (BDCA-2),0.00692721361192586,1.81899680895372,0,1,1
CD23,0.0171560366335958,1.43555078734007,0,1,1
