Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
GOBP_CELLULAR_RESPONSE_TO_COPPER_ION,19,2,0.000179135656727341,0.0814850790073974,"MT1X,SNCA",2,20,0.1
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,529,5,0.000182429281359845,0.0814850790073974,"IL23A,NCF1,SNCA,TCIM,TFRC",5,20,0.25
GOBP_VIRAL_LIFE_CYCLE,283,4,0.000195594226173788,0.0850041934290409,"OAS3,TFRC,BST2,ISG15",4,20,0.2
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY,21,2,0.000219712705420813,0.0929731658728071,"OAS3,ISG15",2,20,0.1
HP_RECURRENT_ASPERGILLUS_INFECTIONS,22,2,0.000241530981994263,0.0995290740012675,"NCF1,CEACAM6",2,20,0.1
GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,301,4,0.000247584761197183,0.0995290740012675,"IL23A,NCF1,SNCA,TCIM",4,20,0.2
GOBP_VIRAL_GENOME_REPLICATION,121,3,0.000267652029880218,0.104971820499363,"OAS3,BST2,ISG15",3,20,0.15
GOBP_RESPONSE_TO_IRON_ION,24,2,0.000288217245060924,0.108976650367774,"SNCA,TFRC",2,20,0.1
GOBP_CELL_ACTIVATION,928,6,0.000291417659565566,0.108976650367774,"IL23A,SNCA,TCIM,LAG3,TFRC,BST2",6,20,0.3
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,939,6,0.000310587893708281,0.113505757518845,"IL23A,NCF1,SNCA,TCIM,F3,TFRC",6,20,0.3
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,600,5,0.000327265793833454,0.116942976996487,"IL23A,NCF1,SNCA,TCIM,TFRC",5,20,0.25
GOBP_POSITIVE_REGULATION_OF_SIGNALING,1385,7,0.000364923634374936,0.1275646095815,"IL23A,NCF1,SNCA,TCIM,F3,TFRC,BST2",7,20,0.35
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,136,3,0.000377267789859681,0.129073745977525,"IL23A,TFRC,BST2",3,20,0.15
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,137,3,0.000385454564272528,0.129127279031297,"IL23A,LAG3,TFRC",3,20,0.15
GOCC_CELL_SURFACE,638,5,0.000434125349721543,0.139937188338031,"F3,LAG3,TFRC,BST2,CEACAM6",5,20,0.25
GOBP_REGULATION_OF_HEMOPOIESIS,351,4,0.000443791366262603,0.139937188338031,"IL23A,TCIM,LAG3,ISG15",4,20,0.2
