,Set,N,DE,P.DE,FDR
1,WP_LUNG_FIBROSIS,50,2,0.00265069626285854,0.0132534813142927
2,pulmonary_fibrosis_ctd,85,2,0.00747200600980158,0.018680015024504
3,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,59,1,0.0864460748390257,0.144076791398376
4,fibrosis_transcriptional_signature,87,1,0.124893971994563,0.156117464993204
5,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,11,0,1,1
