,Set,NGenes,Direction,PValue,FDR
1,pulmonary_fibrosis_ctd,51,Up,0.208373284656961,0.707969569638308
2,fibrosis_transcriptional_signature,17,Down,0.470162396010362,0.707969569638308
3,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Down,0.627784936414474,0.707969569638308
4,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,58,Down,0.704732445773255,0.707969569638308
5,WP_LUNG_FIBROSIS,29,Up,0.707969569638308,0.707969569638308
