Set,NGenes,Direction,PValue,FDR,DEG.GENES
pulmonary_fibrosis_ctd,51,Down,0.0419199175984194,0.209599587992097,"HSPA1B,CCL4,CCL3,ESR1"
fibrosis_transcriptional_signature,17,Up,0.255288933111654,0.625221721349083,""
WP_LUNG_FIBROSIS,29,Down,0.37513303280945,0.625221721349083,"CCL4,CCL3"
WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Up,0.674534467708124,0.843168084635155,""
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,58,Down,0.947267186034817,0.947267186034817,""
