,logFC,logCPM,LR,PValue,FDR
ITGA6,2.47767793452022,4.81389703614252,37.3888574309438,9.67734370892906e-10,9.46350956138733e-06
MT1H,-3.29797348315156,3.70329265125291,36.2569264913488,1.72944253680324e-09,9.46350956138733e-06
IFITM2,-1.12988641172581,5.54561052909015,30.7225209674019,2.97689805228901e-08,0.000108597240947503
ITGA3,-2.9906434209367,2.15896480687419,21.364120379138,3.79812995050361e-06,0.00979596998832533
TRHDE,1.80145126378631,3.83606607999481,21.0495849042444,4.47549798443226e-06,0.00979596998832533
NT5C3B,0.93068601619428,5.01278466374101,20.2034090702434,6.96287396158069e-06,0.0127002821059232
CTSL,-0.653042925556545,9.06774327801314,19.3120471578541,1.11003764146128e-05,0.0161116223577867
CD59,-0.638498879592764,8.42384887005296,19.1990008763318,1.17775017235283e-05,0.0161116223577867
GBP3,1.57486222758317,5.94971369074332,18.1304351865249,2.06277902497109e-05,0.0214343975426205
NKG7,-2.62877614875267,1.84671206889649,18.112484800952,2.08231629357556e-05,0.0214343975426205
SYNGAP1,-3.22936441041243,1.8774984803361,18.0476822188766,2.15440764774146e-05,0.0214343975426205
VLDLR,3.14845766900027,1.85677169048855,17.5953055559928,2.73262075908646e-05,0.0249215013228685
ESR1,-1.88433888982756,2.59949127490353,15.9414855963616,6.53309817094881e-05,0.054998635679126
NOP10,-0.463178832419827,9.10987306347747,15.4264829107239,8.57777248603132e-05,0.0670536729193762
TRPM4,-1.43231195330531,3.51769316594007,15.1988723782492,9.67611828826954e-05,0.0705969590312146
ALDH2,0.328361537076512,9.89900774451788,15.0473518317237,0.000104847260273861,0.0717155260273212
RPLP0,0.358710872308749,9.68773518683308,14.4526807889177,0.000143725141357171,0.0925251733536986
NDRG1,-1.15872932572766,3.82680196598571,14.2914856769723,0.000156571482685176,0.0951954614725871
CCDC69,-1.41871505053032,3.62139899150842,14.1783204587622,0.000166275303709308,0.0957745749365617
SVIP,-0.901656912705865,4.52119479663758,13.6138380366271,0.000224524406944841,0.122859755480217
CD93,-1.51850673059353,3.02658570504214,13.3311592503594,0.000261032097100795,0.1360350128891
TNFAIP6,-2.27191614815314,2.38227265851655,13.0014080065471,0.000311256842861289,0.13704160403336
