,Set,NGenes,Direction,PValue,FDR
1,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,58,Down,0.0713844632788364,0.356922316394182
2,WP_LUNG_FIBROSIS,29,Up,0.15308237843114,0.382705946077849
3,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Down,0.34566078755981,0.576101312599684
4,pulmonary_fibrosis_ctd,51,Up,0.73109449549476,0.879730120446375
5,fibrosis_transcriptional_signature,17,Up,0.879730120446375,0.879730120446375
