,Set,N,DE,P.DE,FDR,DEG.GENES
1,WP_LUNG_FIBROSIS,50,1,0.00694249110489897,0.0294576685749937,CCL4
2,pulmonary_fibrosis_ctd,85,1,0.0117830674299975,0.0294576685749937,CCL4
3,fibrosis_transcriptional_signature,104,0,1,1,
4,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,60,0,1,1,
5,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,12,0,1,1,
