,Set,NGenes,Direction,PValue,FDR
1,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,57,Down,0.0476344140219051,0.155806017816183
2,fibrosis_transcriptional_signature,17,Up,0.0623224071264731,0.155806017816183
3,WP_LUNG_FIBROSIS,37,Down,0.453089822467701,0.587611706864656
4,pulmonary_fibrosis_ctd,60,Down,0.541440510097982,0.587611706864656
5,WP_NITRIC_OXIDE_METABOLISM_IN_CYSTIC_FIBROSIS,8,Down,0.587611706864656,0.587611706864656
