,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,LINC01515,1.02256793228997,-1.75043712088869,38.5562398231144,4.94065645841247e-324,7.71829351933195e-320
2,TMC3-AS1,1.02270533725956,-1.74855611881576,17.440282447377,2.37921444831129e-68,1.85840440557595e-64
3,PTH2R,1.02008357835973,-1.74618663818374,13.0020287586537,6.24836958301727e-39,3.25373432086319e-35
4,SPINK6,1.02317009664532,-1.74615740735256,11.9385863475153,3.85278351510957e-33,1.50470460182604e-29
5,PGAP2,2.08987126192635,-1.71505034607228,11.3960772415989,2.24967381561897e-30,7.02888086951992e-27
6,DIPK1A,1.01897377335162,-1.74091992565453,8.68779877548305,1.8655820716777e-18,4.85735385395817e-15
7,USP30,2.08636868724553,-1.6856749458257,8.37039941801173,2.89520904036934e-17,6.4612793755214e-14
8,LINC00665,1.01885815623501,-1.73903127586933,8.33036679952123,4.06272664028284e-17,7.58645866338801e-14
9,PEX12,1.1243741876016,-1.73596965087811,8.32171000888461,4.37063935286724e-17,7.58645866338801e-14
10,MMEL1,1.12393601673267,-1.73604344358492,8.23931969709026,8.72776042481626e-17,1.3634507335648e-13
11,LINC00504,1.09159282042525,-1.73545488110677,7.87502508850576,1.71457944703472e-15,2.43501455650694e-12
12,ZNF587B,1.02256754624241,-1.73595119893658,7.73437169592119,5.22758688041959e-15,6.80544685382624e-12
13,LINC01023,1.01551004684864,-1.73833615364991,7.39299520506825,7.21469126822699e-14,8.66983899940323e-11
14,FAM210A,2.12992889442646,-1.65483168522939,7.12217782422598,5.33526139473438e-13,5.95338953632432e-10
15,CAHM,1.12337422405741,-1.7334381884402,6.93201138122699,2.08275042516393e-12,2.16911514279406e-09
16,NT5DC1,2.08434052322678,-1.63907636298056,6.6806847009481,1.19323772276704e-11,1.16504748156667e-08
17,FBXW9,0.989804292485213,-1.7317409696245,6.67041598274681,1.27976210332971e-11,1.17602609283628e-08
18,C4orf33,2.05928023505852,-1.65095655159076,6.66147503677439,1.36008014564008e-11,1.18039844639941e-08
19,RAPGEF3,1.12625252252399,-1.72402492935835,6.40744819723819,7.42039839303431e-11,6.10112966820957e-08
20,IDNK,2.08823540644414,-1.63589839307469,6.37393165708911,9.23854780969234e-11,7.21622969415069e-08
21,KPTN,2.11703310199538,-1.62958500328482,6.11250640083501,4.91589003884064e-10,3.65695400889374e-07
22,PDCD4-AS1,1.01363990849568,-1.73018452722575,6.01792912434906,8.85333674710293e-10,6.28667393923827e-07
23,CLN6,2.10422826726659,-1.62467915234955,5.9455122072342,1.38099820154535e-09,9.37997995849626e-07
